log_timestamp,input_row_identifier,CompanyName,GivenURL,stage_of_failure,error_reason,error_details,Associated_Pathful_Canonical_URL
2025-06-06T13:47:03.011756,0,Trafo Baden │ Congress. Hotels. Catering.,http://www.trafobaden.ch,LLM_Summarization_Failed,Failed to generate website summary.,"{""raw_response"": ""Error: Prompt template file not found: C:\\Users\\EmiliosRichards\\Projects\\Classifier poc\\Contact_Pipeline\\Contact_Pipeline\\prompts\\website_summarizer_prompt.txt""}",
2025-06-06T13:47:09.097772,1,OTTO PARTNER ARCHITEKTEN AG,http://www.ottopartner.ch,LLM_Summarization_Failed,Failed to generate website summary.,"{""raw_response"": ""Error: Prompt template file not found: C:\\Users\\EmiliosRichards\\Projects\\Classifier poc\\Contact_Pipeline\\Contact_Pipeline\\prompts\\website_summarizer_prompt.txt""}",
2025-06-06T13:47:16.723345,2,treuhand marugg + imsand,http://www.trmi.ch,LLM_Summarization_Failed,Failed to generate website summary.,"{""raw_response"": ""Error: Prompt template file not found: C:\\Users\\EmiliosRichards\\Projects\\Classifier poc\\Contact_Pipeline\\Contact_Pipeline\\prompts\\website_summarizer_prompt.txt""}",
2025-06-06T13:48:40.526001,3,SEELAND JOB AG,http://www.seelandjob.ch,LLM_Summarization_Failed,Failed to generate website summary.,"{""raw_response"": ""Error: Prompt template file not found: C:\\Users\\EmiliosRichards\\Projects\\Classifier poc\\Contact_Pipeline\\Contact_Pipeline\\prompts\\website_summarizer_prompt.txt""}",
